XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
3,JINPAO,JP2101-20161224010,10.0,8021103075900000,PC,0.0
3,JINPAO,JP2101-20161224010,11.0,8021103087500000,PC,0.0
3,JINPAO,JP2101-20161224010,12.0,8021103075500000,PC,0.0
3,JINPAO,JP2101-20161224010,13.0,8021103070700000,PC,0.0
3,JINPAO,JP2101-20161224010,14.0,8021103071100000,PC,0.0
3,JINPAO,JP2101-20161224010,15.0,8021103068000000,PC,0.0
3,JINPAO,JP2101-20161224010,16.0,8021103103100000,PC,0.0
10,JINPAO,JP2103-16090000001,1.0,8021103117800005,PC,20.0
3,JINPAO,JP2101-20161224008,3.0,8021103084500000,PC,0.0
3,JINPAO,JP2101-20161224008,4.0,8021103118700000,PC,0.0
3,JINPAO,JP2101-20161224008,5.0,8021103097200000,PC,0.0
3,JINPAO,JP2101-20161224008,6.0,8021103142200000,PC,0.0
3,JINPAO,JP2101-20161224008,7.0,8021103142300000,PC,0.0
3,JINPAO,JP2101-20161224008,8.0,8021103066200000,PC,0.0
3,JINPAO,JP2101-20161224009,1.0,8021103391700000,PC,0.0
3,JINPAO,JP2101-20161224009,2.0,8021103377000000,PC,0.0
3,JINPAO,JP2101-20161224009,3.0,8021103381700000,PC,0.0
3,JINPAO,JP2101-20161224009,4.0,8021103383900000,PC,0.0
3,JINPAO,JP2101-20161224009,5.0,8021103383200000,KG,0.0
3,JINPAO,JP2101-20161224011,5.0,8021103380500000,PC,135.0
3,JINPAO,JP2101-20161224011,6.0,8021103376600000,PC,150.0
3,JINPAO,JP2101-20161224011,7.0,8021103380900000,PC,160.0
3,JINPAO,JP2101-20161224011,8.0,8021103375700000,PC,150.0
3,JINPAO,JP2101-20161224012,1.0,8021103386400000,PC,520.0
3,JINPAO,JP2101-20161224021,7.0,8021103388500000,PC,678.0
3,JINPAO,JP2101-20161224021,8.0,8021103383100000,PC,665.0
3,JINPAO,JP2101-20161224021,9.0,8021103367500000,PC,1005.0
3,JINPAO,JP2101-20161224021,10.0,8021103387600000,PC,638.0
3,JINPAO,JP2101-20161224021,11.0,8021103367800000,PC,635.0
3,JINPAO,JP2101-20161224022,1.0,8021103367900000,PC,635.0
3,JINPAO,JP2101-20161224022,2.0,8021103381600000,PC,615.0
3,JINPAO,JP2101-20161224022,3.0,8021103367000000,PC,3085.0
3,JINPAO,JP2101-20161224022,4.0,8021103367100000,PC,855.0
3,JINPAO,JP2101-20161224022,5.0,8021103378500000,PC,135.0
3,JINPAO,JP2101-20161224022,6.0,8021103378600000,PC,135.0
3,JINPAO,JP2101-20161224022,7.0,8021103366300000,PC,4350.0
3,JINPAO,JP2101-20161224022,8.0,8021103371100000,PC,579.0
3,JINPAO,JP2101-20161224011,9.0,8021103376800000,PC,160.0
3,JINPAO,JP2101-20161223872,1.0,8021103130400000,PC,0.0
3,JINPAO,JP2101-20161223872,2.0,8021103103800000,PC,0.0
3,JINPAO,JP2101-20161223872,3.0,8021103128300000,PC,0.0
3,JINPAO,JP2101-20161223872,4.0,8021103117900000,PC,0.0
3,JINPAO,JP2101-20161223872,5.0,8021103129200000,PC,0.0
3,JINPAO,JP2101-20161223872,6.0,8021103124000000,PC,0.0
3,JINPAO,JP2101-20161223872,7.0,8021103128400000,PC,0.0
3,JINPAO,JP2101-20161223872,8.0,8021103119700000,PC,0.0
3,JINPAO,JP2101-20161223872,9.0,8021103128500000,PC,0.0
3,JINPAO,JP2101-20161223872,10.0,8021103100500000,PC,0.0
3,JINPAO,JP2101-20161223872,11.0,8021103111400000,PC,0.0
3,JINPAO,JP2101-20161223872,12.0,8021103101100000,PC,0.0
3,JINPAO,JP2101-20161223872,13.0,8021103067700000,PC,0.0
3,JINPAO,JP2101-20161224011,10.0,8021103378900000,PC,140.0
3,JINPAO,JP2101-20161223867,1.0,8021103393400000,PC,0.0
3,JINPAO,JP2101-20161223867,2.0,8021103395200000,PC,383.0
3,JINPAO,JP2101-20161223867,3.0,8021103393600000,PC,0.0
3,JINPAO,JP2101-20161223867,4.0,8021103367700000,PC,1110.0
3,JINPAO,JP2101-20161223867,5.0,8021103393300000,PC,0.0
3,JINPAO,JP2101-20161223867,6.0,8021103392700000,PC,0.0
3,JINPAO,JP2101-20161223867,7.0,8021103392800000,PC,0.0
3,JINPAO,JP2101-20161223867,8.0,8021103365800000,PC,67915.0
3,JINPAO,JP2101-20161223867,9.0,8021103365600000,PC,45000.0
3,JINPAO,JP2101-20161223867,10.0,8021103369300000,PC,26500.0
3,JINPAO,JP2101-20161223867,11.0,8021103365900000,PC,43348.0
3,JINPAO,JP2101-20161223867,12.0,8021103365200000,PC,18000.0
3,JINPAO,JP2101-20161223867,13.0,8021103365400000,PC,17050.0
3,JINPAO,JP2101-20161223867,14.0,8021103389500000,PC,16000.0
3,JINPAO,JP2101-20161223867,15.0,8021103392100000,PC,15405.0
3,JINPAO,JP2101-20161224017,6.0,8021103380700000,PC,232.0
3,JINPAO,JP2101-20161224017,7.0,8021103381300000,PC,214.0
3,JINPAO,JP2101-20161224017,8.0,8021103380200000,PC,210.0
3,JINPAO,JP2101-20161224017,9.0,8021103379000000,PC,210.0
3,JINPAO,JP2101-20161224017,10.0,8021103379100000,PC,210.0
3,JINPAO,JP2101-20161224018,1.0,8021103366800000,PC,240.0
3,JINPAO,JP2101-20161224018,2.0,8021103380800000,PC,200.0
10,JINPAO,JP2108-16090000001,1.0,G21610004000,PC,24.0
3,JINPAO,JP2101-20161224025,3.0,8021103374200000,PC,80.0
3,JINPAO,JP2101-20161224025,4.0,8021103375900000,PC,80.0
3,JINPAO,JP2101-20161224025,5.0,8021103374600000,PC,115.0
3,JINPAO,JP2101-20161224025,6.0,8021103374400000,PC,75.0
3,JINPAO,JP2101-20161224025,7.0,8021103375500000,PC,72.0
3,JINPAO,JP2101-20161224025,8.0,8021103373500000,PC,69.0
3,JINPAO,JP2101-20161224026,1.0,8021103373800000,PC,65.0
3,JINPAO,JP2101-20161224026,2.0,8021103374900000,PC,60.0
3,JINPAO,JP2101-20161224026,3.0,8021103373100000,PC,56.0
3,JINPAO,JP2101-20161224026,4.0,8021103373400000,PC,56.0
3,JINPAO,JP2101-20161224026,5.0,8021103374000000,PC,40.0
3,JINPAO,JP2101-20161224027,1.0,8021103373300000,PC,40.0
3,JINPAO,JP2101-20161224027,2.0,8021103376200000,PC,35.0
3,JINPAO,JP2101-20161224027,3.0,8021103394700000,PC,58.0
3,JINPAO,JP2101-20161224199,2.0,8021103036800000,PC,5.46
3,JINPAO,JP2101-20161224200,1.0,8021103038200000,PC,4.61
3,JINPAO,JP2101-20161224201,1.0,8021103047000000,PC,2.66
3,JINPAO,JP2101-20161224202,1.0,8021103012900000,PC,1.87
3,JINPAO,JP2101-20161224203,1.0,8021103038400000,PC,1.41
3,JINPAO,JP2101-20161224204,1.0,8021103046500000,PC,1.0
3,JINPAO,JP2101-20161224108,4.0,8021108300500000,PC,195.34
3,JINPAO,JP2101-20161224109,2.0,8021105303100000,PC,360.97
3,JINPAO,JP2101-20161224109,3.0,8021108300200000,PC,360.97
3,JINPAO,JP2101-20161224109,4.0,8021105304900000,PC,626.03
3,JINPAO,JP2101-20161224109,5.0,8021105305000000,PC,1363.23
3,JINPAO,JP2101-20161224109,6.0,8021105305100000,PC,1363.23
3,JINPAO,JP2101-20161224110,1.0,8021108303100000,PC,180.66
3,JINPAO,JP2101-20161224100,1.0,8221107300200000,SET,240000.0
3,JINPAO,JP2101-20161224101,1.0,8221107300100000,SET,176000.0
3,JINPAO,JP2101-20161223875,1.0,8021103197900000,PC,1170.49
3,JINPAO,JP2101-20161223875,2.0,8021103198100000,PC,48.79
3,JINPAO,JP2101-20161223409,1.0,8021108305200000,PC,2.62
3,JINPAO,JP2101-20161223857,1.0,8021107303500001,PC,20.67
3,JINPAO,JP2101-20161223857,2.0,8021107303600001,PC,26.45
3,JINPAO,JP2101-20161223935,1.0,8021108305300000,PC,4.95
3,JINPAO,JP2101-20161223935,2.0,8021107300700000,PC,58.05
3,JINPAO,JP2101-20161223935,3.0,8021103114600001,PC,7.34
3,JINPAO,JP2101-20161223935,4.0,8021108305400000,PC,5.61
3,JINPAO,JP2101-20161223935,5.0,8021103936000001,PC,5.61
3,JINPAO,JP2101-20161223935,6.0,8021108305500000,PC,2.62
3,JINPAO,JP2101-20161223935,7.0,8021108305600000,PC,5.75
3,JINPAO,JP2101-20161224094,5.0,8021103066800000,PC,45.54
3,JINPAO,JP2101-20161223919,1.0,8121103316000000,PC,4620.0
3,JINPAO,JP2101-20161223919,2.0,8121103320700000,PC,9000.0
3,JINPAO,JP2101-20161223514,1.0,8121103309600001,PC,4760.0
3,JINPAO,JP2101-20161223514,2.0,8121108300900000,PC,190.0
3,JINPAO,JP2101-20161223514,3.0,8021107304400000,PC,370.0
3,JINPAO,JP2101-20161223514,4.0,8121105300200000,PC,185.0
3,JINPAO,JP2101-20161223514,5.0,8121105300100000,PC,11.4
3,JINPAO,JP2101-20161223514,6.0,8121105300400000,PC,60.0
3,JINPAO,JP2101-20161223753,1.0,8021103274300002,PC,36.61
3,JINPAO,JP2101-20161223753,2.0,8021103274400001,PC,13.69
3,JINPAO,JP2101-20161223753,3.0,8021103274500002,PC,16.32
3,JINPAO,JP2101-20161223753,4.0,8021103274600002,PC,30.06
3,JINPAO,JP2101-20161224226,1.0,8021103274600002,PC,0.0
3,JINPAO,JP2101-20161224112,4.0,8021107302900000,PC,78.27
3,JINPAO,JP2101-20161224112,5.0,8021107303100000,PC,19.39
3,JINPAO,JP2101-20161223709,4.0,8021103224600001,PC,348.0
3,JINPAO,JP2101-20161223709,5.0,8021103223500001,PC,340.0
3,JINPAO,JP2101-20161223709,6.0,8021103225000001,PC,224.0
3,JINPAO,JP2101-20161223810,12.0,8021103332500001,PC,0.0
3,JINPAO,JP2101-20161224240,1.0,8021103062700000,PC,3046.06
3,JINPAO,JP2101-20161224240,2.0,8021103062800000,PC,3043.09
3,JINPAO,JP2101-20161224241,1.0,8021103063200000,PC,310.26
3,JINPAO,JP2101-20161224244,4.0,8021108401500000,PC,60.0
3,JINPAO,JP2101-20161224115,1.0,8321110102000000,PC,35030.69
3,JINPAO,JP2101-20161224244,6.0,8021103323800001,PC,70.0
3,JINPAO,JP2101-20161224244,7.0,8021103326800001,PC,58.0
3,JINPAO,JP2101-20161224244,8.0,8021103326300001,PC,160.0
3,JINPAO,JP2101-20161224244,9.0,8021103320800001,PC,65.0
3,JINPAO,JP2101-20161224244,10.0,8021103326700001,PC,145.0
3,JINPAO,JP2101-20161224244,11.0,8021103325300000,PC,25.0
3,JINPAO,JP2101-20161222007,1.0,8021103362700001,PC,0.0
3,JINPAO,JP2101-20161222007,2.0,8021103362800001,PC,0.0
3,JINPAO,JP2101-20161223514,7.0,8121105300300000,PC,210.0
3,JINPAO,JP2101-20161223514,8.0,8121108301000000,PC,4480.0
3,JINPAO,JP2101-20161224207,1.0,8021103204600000,PC,113.35
3,JINPAO,JP2101-20161224208,1.0,8021105304600000,PC,18.18
3,JINPAO,JP2101-20161224209,1.0,8221108300500000,SET,360000.0
3,JINPAO,JP2101-20161224209,2.0,8221108300800000,SET,630000.0
3,JINPAO,JP2101-20161224209,3.0,8221108300900000,SET,330000.0
3,JINPAO,JP2101-20161224209,4.0,8221108300300000,SET,180000.0
3,JINPAO,JP2101-20161224209,5.0,8221108301000000,SET,235000.0
3,JINPAO,JP2101-20161224210,1.0,8221108302400000,SET,176000.0
3,JINPAO,JP2101-20161224210,2.0,8221108300600000,SET,400000.0
3,JINPAO,JP2101-20161224210,3.0,8221108300400000,SET,25000.0
3,JINPAO,JP2101-20161224210,4.0,8221108302100000,SET,70000.0
3,JINPAO,JP2101-20161224210,5.0,8221108301100000,SET,21000.0
3,JINPAO,JP2101-20161224211,1.0,8221108301200000,SET,21000.0
3,JINPAO,JP2101-20161223722,5.0,8021103145900000,PC,90.0
3,JINPAO,JP2101-20161224113,1.0,8021103274300000,PC,36.61
3,JINPAO,JP2101-20161224113,2.0,8021103274400000,PC,13.69
3,JINPAO,JP2101-20161224113,3.0,8021103274500000,PC,16.32
3,JINPAO,JP2101-20161224113,4.0,8021103274600001,PC,30.06
3,JINPAO,JP2101-20161224212,1.0,8021103114200000,PC,356.96
3,JINPAO,JP2101-20161224214,19.0,8021107404700001,PC,0.0
3,JINPAO,JP2101-20161224214,20.0,8021108405800000,PC,0.0
3,JINPAO,JP2101-20161224214,21.0,8021108405900000,PC,0.0
3,JINPAO,JP2101-20161224242,1.0,8021103331400001,PC,756.0
3,JINPAO,JP2101-20161224242,2.0,8021103331700001,PC,756.0
3,JINPAO,JP2101-20161224242,3.0,8021103331800000,PC,756.0
3,JINPAO,JP2101-20161224242,4.0,8021103331600001,PC,756.0
3,JINPAO,JP2101-20161224242,5.0,8021103332100001,PC,1007.0
3,JINPAO,JP2101-20161223722,6.0,8021103146000000,PC,80.0
3,JINPAO,JP2101-20161223722,7.0,8021103146100000,PC,70.0
3,JINPAO,JP2101-20161223722,8.0,8021103146300000,PC,50.0
3,JINPAO,JP2101-20161223722,9.0,8021103146400000,PC,50.0
3,JINPAO,JP2101-20161223722,10.0,8021103146500000,PC,480.0
3,JINPAO,JP2101-20161223773,1.0,8021103146600000,PC,480.0
3,JINPAO,JP2101-20161223773,2.0,8021103146800000,PC,80.0
3,JINPAO,JP2101-20161223773,3.0,8021103146900000,PC,18.0
3,JINPAO,JP2101-20161223773,4.0,8021103147000000,PC,17.0
3,JINPAO,JP2101-20161223773,5.0,8021103147100000,PC,15.0
3,JINPAO,JP2101-20161223773,6.0,8021103287800000,PC,340.0
